Technique,Accuracy,F1 Score,AUC
Original,0.7592207243885521,0.1977491961414791,0.567771632500932
Random Oversampling,0.6293615609638409,0.31903812056737585,0.5624391973581744
Random Undersampling,0.5837630809131759,0.32554730258014075,0.5616667007531673
Tomek Links,0.7591604089387497,0.1978706307754118,0.5682716487315239
SMOTE,0.6194396694713351,0.3083584543710606,0.5548374280475735
Class Weights,0.6208872402665943,0.3302253716234216,0.5679598842296029
